"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Emil Audero","Sampdoria","ITA","GK",NA,23,14,7,16,54,118,72.8,6,16.2,2,22.2
"Gianluigi Buffon","Juventus","ITA","GK",NA,42,7,1,0,5,15,85.7,3,37.5,1,33.3
"Simone Colombi","Parma","ITA","GK",NA,29,0,0,2,7,3,40,0,0,0,0
"Andrea Consigli","Sassuolo","ITA","GK",NA,33,17,10,10,56,129,71.9,7,18.9,1,20
"Alex Cordaz","Crotone","ITA","GK",NA,37,6,3,27,91,118,58.5,2,5.6,0,0
"Angelo da Costa Júnior","Bologna","BRA","GK",NA,36,0,5,1,9,18,70.4,1,16.7,0,0
"Alessio Cragno","Cagliari","ITA","GK",NA,26,6,10,18,53,129,73.6,6,17.6,0,0
"Gianluigi Donnarumma","Milan","ITA","GK",NA,21,24,6,7,38,88,71.4,14,37.8,1,33.3
"Bartłomiej Drągowski","Fiorentina","POL","GK",NA,22,9,12,15,55,85,66.7,7,19.4,2,20
"Pierluigi Gollini","Atalanta","ITA","GK",NA,25,14,8,3,26,38,66.2,9,36,2,33.3
"Samir Handanović","Inter","SVN","GK",NA,36,27,7,3,33,76,73.6,14,37.8,2,33.3
"Pau López","Roma","ESP","GK",NA,25,10,4,6,29,59,69.4,4,20,0,0
"Alex Meret","Napoli","ITA","GK",NA,23,13,5,4,29,53,66.7,6,27.3,0,0
"Vanja Milinković-Savić","Torino","SRB","GK",NA,23,2,2,1,6,14,75,1,20,0,0
"Antonio Mirante","Roma","ITA","GK",NA,37,6,3,4,19,36,69.6,5,38.5,1,33.3
"Lorenzo Montipò","Benevento","ITA","GK",NA,24,7,11,19,74,103,59.3,7,18.9,1,20
"Juan Musso","Udinese","ARG","GK",NA,26,9,10,16,51,98,74.5,8,22.9,0,0
"David Ospina","Napoli","COL","GK",NA,31,11,0,5,12,30,78.6,8,50,0,0
"Mattia Perin","Genoa","ITA","GK",NA,27,9,11,12,44,116,76.6,8,25,0,0
"Ivan Provedel","Spezia","ITA","GK",NA,26,6,10,13,55,75,62.6,4,13.8,1,14.3
"Federico Ravaglia","Bologna","ITA","GK",NA,20,0,1,3,10,10,52.6,0,0,0,0
"Pepe Reina","Lazio","ESP","GK",NA,37,18,3,8,41,74,70.8,9,31,0,0
"Simone Scuffet","Udinese","ITA","GK",NA,24,0,0,1,2,2,75,0,0,0,0
"Luigi Sepe","Parma","ITA","GK",NA,29,3,11,22,76,108,59.1,5,13.9,0,0
"Marco Silvestri","Hellas Verona","ITA","GK",NA,29,11,9,14,42,91,72.5,7,20.6,0,0
"Salvatore Sirigu","Torino","ITA","GK",NA,33,5,13,14,62,72,59.7,7,21.9,0,0
"Łukasz Skorupski","Bologna","POL","GK",NA,29,10,5,13,46,100,72.1,4,14.3,2,28.6
"Marco Sportiello","Atalanta","ITA","GK",NA,28,9,1,3,21,25,57.4,2,15.4,1,50
"Thomas Strakosha","Lazio","ALB","GK",NA,25,3,2,4,14,24,68.4,3,33.3,0,0
"Wojciech Szczęsny","Juventus","POL","GK",NA,30,16,8,6,32,66,71.4,5,16.7,2,33.3
"Ciprian Tătărușanu","Milan","ROU","GK",NA,34,0,1,0,3,4,71.4,0,0,0,0
"Pietro Terracciano","Fiorentina","ITA","GK",NA,30,0,1,1,4,7,63.6,2,100,1,100
"Jeroen Zoet","Spezia","NED","GK",NA,29,3,1,3,12,17,69,0,0,0,0
