"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Aaron Hickey","Bologna","SCO","DF",NA,19,2002,36,2820,78,82.5,34,82,17,2,24,1.25,34,42,11154,580000
"Aaron Ramsey","Juventus","WAL","MF",NA,30,1990,3,99,33,2.9,1,59,0,2,20,1.33,2,3,172500,8970000
"Abdelhamid Sabiri","Sampdoria","MAR","MF","FW",24,1996,14,893,64,26.1,9,85,6,5,26,0.93,11,13,2115,110000
"Abdou Harroui","Sassuolo","NED","MF",NA,23,1998,22,452,21,13.2,3,65,1,19,14,1.32,7,10,2308,120000
"Adam Marušić","Lazio","MNE","DF",NA,28,1992,33,2721,82,79.6,30,87,26,3,37,1.73,63,41,32115,1670000
"Adam Ounas","Napoli","ALG","MF","FW",24,1996,15,326,22,9.5,1,90,1,14,17,1.6,6,4,56923,2960000
"Adama Soumaoro","Bologna","FRA","DF",NA,29,1992,28,2266,81,66.3,26,86,23,2,19,1.25,27,26,26731,1390000
"Adrien Rabiot","Juventus","FRA","MF",NA,26,1995,32,2285,71,66.8,28,80,17,4,10,1.81,30,25,172500,8970000
"Adrien Silva","Sampdoria","POR","MF",NA,32,1989,17,1083,64,31.7,12,81,6,5,23,1,21,21,27115,1410000
"Adrien Tameze","Hellas Verona","CMR","MF","DF",27,1994,38,2574,68,75.3,26,85,16,12,30,1.39,45,36,12308,640000
"Ainsley Maitland-Niles","Roma","ENG","DF",NA,23,1997,8,487,61,14.2,7,67,1,1,15,1.38,10,8,29615,1540000
"Albin Ekdal","Sampdoria","SWE","MF",NA,32,1989,26,1637,63,47.9,19,77,7,7,25,1,20,27,39231,2040000
"Aleksa Terzić","Fiorentina","SRB","DF",NA,21,1999,14,274,20,8,1,90,1,13,14,2.07,4,3,7308,380000
"Aleksei Miranchuk","Atalanta","RUS","MF","FW",25,1995,19,772,41,22.6,7,63,1,12,28,1.42,12,13,53462,2780000
"Alessandro Bastoni","Inter","ITA","DF",NA,22,1999,31,2311,75,67.6,29,78,13,2,27,2.35,57,18,99808,5190000
"Alessandro Buongiorno","Torino","ITA","DF",NA,22,1999,23,1181,51,34.5,12,76,5,11,24,1.43,22,16,7885,410000
"Alessandro Deiola","Cagliari","ITA","MF",NA,25,1995,33,2129,65,62.3,28,71,6,5,29,0.79,21,47,10769,560000
"Alessandro Florenzi","Milan","ITA","DF","FW",30,1991,24,1152,48,33.7,12,77,3,12,19,2.08,23,10,106923,5560000
"Alessandro Zanoli","Napoli","ITA","DF",NA,20,2000,12,457,38,13.4,5,81,4,7,7,2,11,6,2885,150000
"Alessio Romagnoli","Milan","ITA","DF",NA,26,1995,19,1409,74,41.2,16,86,14,3,9,2.16,25,16,178077,9260000
"Alex Ferrari","Sampdoria","ITA","DF",NA,27,1994,23,1643,71,48,20,78,8,3,26,1.13,21,26,14231,740000
"Alex Sandro","Juventus","BRA","DF",NA,30,1991,28,1780,64,52,17,85,13,11,31,1.61,26,25,213654,11110000
"Alexis Saelemaekers","Milan","BEL","FW",NA,22,1999,36,1865,52,54.5,22,69,6,14,24,2.28,37,21,24615,1280000
"Alexis Sánchez","Inter","CHI","FW",NA,32,1988,27,881,33,25.8,7,74,2,20,18,2.07,18,10,172500,8970000
"Alfred Duncan","Fiorentina","GHA","MF",NA,28,1993,33,1931,59,56.5,21,76,5,12,29,1.76,30,25,46346,2410000
"Álvaro Morata","Juventus","ESP","FW",NA,28,1992,35,2302,66,67.3,26,79,7,9,28,1.83,37,20,123269,6410000
"Álvaro Odriozola","Fiorentina","ESP","DF",NA,25,1995,25,1733,69,50.7,18,84,12,7,32,1.56,34,28,86346,4490000
"Amadou Diawara","Roma","GUI","MF",NA,24,1997,4,170,43,5,2,68,1,2,18,2.25,1,1,89038,4630000
"Andre-Frank Zambo Anguissa","Napoli","CMR","MF",NA,25,1995,25,1926,77,56.3,21,89,18,4,16,2.08,43,16,41923,2180000
"Andrea Belotti","Torino","ITA","FW",NA,27,1993,22,1371,62,40.1,16,76,4,6,27,1.05,14,16,71154,3700000
"Andrea Cambiaso","Genoa","ITA","DF",NA,21,2000,26,1790,69,52.3,21,78,13,5,28,0.62,13,31,4231,220000
"Andrea Carboni","Cagliari","ITA","DF",NA,20,2001,30,2215,74,64.8,25,84,18,5,21,0.77,24,41,11731,610000
"Andrea Conti","Sampdoria","ITA","DF","MF",27,1994,7,234,33,6.8,2,71,1,5,18,1.29,3,6,71154,3700000
"Andrea La Mantia","Empoli","ITA","FW","MF",30,1991,18,488,27,14.3,3,68,0,15,19,1.06,8,8,32115,1670000
"Andrea Masiello","Genoa","ITA","DF",NA,35,1986,7,515,74,15.1,6,82,4,1,24,0.43,4,11,25000,1300000
"Andrea Petagna","Napoli","ITA","FW",NA,26,1995,24,586,24,17.1,4,75,1,20,14,2.17,11,6,64038,3330000
"Andrea Pinamonti","Empoli","ITA","FW",NA,22,1999,36,2869,80,83.9,32,87,25,4,22,1.06,44,59,35577,1850000
"Andrea Ranocchia","Inter","ITA","DF",NA,33,1988,6,341,57,10,3,90,3,3,24,2.67,9,4,64038,3330000
"Andrea Schiavone","Salernitana","ITA","MF",NA,28,1993,14,571,41,16.7,5,76,2,9,21,0.21,2,18,13846,720000
"Andreas Skov Olsen","Bologna","DEN","FW","DF",21,1999,18,747,42,21.8,6,74,2,12,26,1.33,13,16,19808,1030000
"Ante Rebić","Milan","CRO","FW",NA,27,1993,24,891,37,26.1,6,71,3,18,26,2.38,14,8,86346,4490000
"Antonín Barák","Hellas Verona","CZE","MF","FW",26,1994,29,2340,81,68.4,27,85,20,2,26,1.52,48,42,17885,930000
