"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Atalanta",32,796,1858,17108,21261,80.5,8273,9367,88.3,1583,2760,57.4,6740,7834,86,19317,1876,539,36,192,661,782,229,68,55,25624,679,372,54.8,307,45.2
"Bologna",36,540,1276,14442,18249,79.1,6960,7925,87.8,1536,2701,56.9,5408,6437,84,16283,1910,590,58,109,601,730,183,56,50.6,22181,598,326,54.5,272,45.5
"Cagliari",33,474,1088,11503,15761,73,4745,5714,83,1656,3147,52.6,4799,5957,80.6,13729,1962,574,16,119,675,791,143,70,44.5,19878,479,252,52.6,227,47.4
"Empoli",28,658,1477,12796,16700,76.6,5530,6362,86.9,1315,2560,51.4,5584,6695,83.4,14627,1990,528,36,76,704,827,189,83,47.4,20894,547,291,53.2,255,46.6
"Fiorentina",28,755,1584,17418,20910,83.3,6638,7448,89.1,2366,3482,67.9,8158,9133,89.3,19005,1848,664,37,246,776,693,195,57,57.7,24439,542,301,55.5,240,44.3
"Genoa",40,517,1101,11185,15587,71.8,5123,6155,83.2,1298,2719,47.7,4390,5629,78,13605,1910,559,29,74,661,777,155,72,43.9,20229,581,302,52,278,47.8
"Hellas Verona",31,677,1587,13047,17398,75,6087,7199,84.6,1410,2728,51.7,5057,6178,81.9,15513,1788,467,36,101,593,777,166,97,50.6,21791,590,313,53.1,276,46.8
"Inter",27,782,1778,18367,21832,84.1,8090,8994,89.9,2046,3033,67.5,7784,8750,89,20151,1624,448,54,207,809,630,252,57,56.5,25692,471,255,54.1,216,45.9
"Juventus",32,701,1464,16459,19835,83,6680,7513,88.9,2015,3048,66.1,7417,8335,89,18065,1696,533,41,193,550,662,169,74,51.5,23918,637,367,57.6,271,42.5
"Lazio",27,788,1527,19632,23041,85.2,9872,10871,90.8,1711,2620,65.3,7249,8150,88.9,21310,1687,520,54,137,574,663,176,44,55.4,26867,610,334,54.8,274,44.9
"Milan",28,806,1486,15719,19320,81.4,6814,7777,87.6,1787,2874,62.2,6719,7647,87.9,17512,1728,564,45,122,672,653,195,80,54,23507,779,456,58.5,323,41.5
"Napoli",27,827,1665,19572,22921,85.4,10332,11215,92.1,1611,2509,64.2,6928,7820,88.6,21114,1740,536,45,199,553,693,197,67,58.3,26604,595,357,60,238,40
"Roma",29,733,1587,15221,18828,80.8,6118,7018,87.2,1874,3044,61.6,6937,7898,87.8,16921,1847,548,45,136,735,748,238,60,51.4,22920,631,331,52.5,299,47.4
"Salernitana",42,528,1031,10680,14461,73.9,4826,5745,84,1387,2552,54.3,4093,5155,79.4,12521,1899,576,12,90,698,695,185,41,41.2,18655,586,314,53.6,272,46.4
"Sampdoria",34,467,1187,12901,17022,75.8,5582,6565,85,1566,2904,53.9,5317,6436,82.6,15064,1876,582,35,151,645,726,143,82,46.1,20985,422,228,54,194,46
"Sassuolo",29,815,1507,17027,20327,83.8,8123,8959,90.7,1724,2681,64.3,6598,7443,88.6,18421,1863,629,59,179,541,612,198,43,54.9,24369,678,403,59.4,275,40.6
"Spezia",30,511,999,11650,15503,75.1,5218,6112,85.4,1421,2833,50.2,4666,5591,83.5,13609,1817,509,32,92,534,731,152,77,42.7,19686,546,292,53.5,254,46.5
"Torino",31,628,1320,13943,18082,77.1,6255,7220,86.6,1434,2885,49.7,5904,6933,85.2,16280,1718,519,28,118,663,699,168,84,53.3,22240,512,295,57.6,216,42.2
"Udinese",29,669,1226,11650,15251,76.4,5511,6357,86.7,1128,2322,48.6,4617,5570,82.9,13384,1789,523,37,80,519,688,187,78,42.7,19617,680,363,53.4,316,46.5
"Venezia",39,540,1088,11575,15320,75.6,4947,5783,85.5,1487,2780,53.5,4826,5800,83.2,13487,1772,493,27,113,585,714,123,61,42.3,19705,577,300,52,276,47.8
