"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Atalanta",514,1122,13368,17503,76.4,6038,7014,86.1,1560,2901,53.8,5388,6478,83.2,15571,1863,555,47,116,468,737,134,69,44.9,21980,635,336,52.9,299,47.1
"Bologna",790,1454,14275,17994,79.3,6556,7471,87.8,1627,2789,58.3,5582,6604,84.5,16245,1661,465,39,153,680,691,167,88,49.3,22069,531,312,58.8,216,40.7
"Cagliari",713,1597,15763,19924,79.1,7231,8273,87.4,1621,2904,55.8,6483,7634,84.9,17954,1894,586,56,123,693,786,199,76,55.6,23942,545,314,57.6,230,42.2
"Empoli",823,1678,14955,18693,80,6818,7698,88.6,1970,3134,62.9,5689,6745,84.3,16720,1907,561,48,250,787,743,217,66,52.9,23120,606,333,55,273,45
"Fiorentina",480,979,11993,15395,77.9,5399,6137,88,1264,2443,51.7,4923,5761,85.5,13564,1712,506,54,77,437,657,127,119,41.8,19162,541,272,50.3,268,49.5
"Genoa",684,1572,15866,20272,78.3,6924,8090,85.6,1900,3139,60.5,6679,7878,84.8,18174,2039,609,35,157,648,888,192,59,56.1,24827,727,378,52,349,48
"Hellas Verona",568,1159,12510,17056,73.3,5616,6705,83.8,1503,3030,49.6,4959,6187,80.2,14925,2099,630,30,87,682,850,187,32,49.4,21246,557,319,57.3,238,42.7
"Inter",569,1095,13450,16669,80.7,6154,6960,88.4,1535,2614,58.7,5370,6191,86.7,14983,1652,503,21,112,516,562,131,34,43.4,20754,545,298,54.7,247,45.3
"Juventus",719,1471,15048,18611,80.9,7164,8073,88.7,1453,2545,57.1,5986,6954,86.1,16719,1857,556,22,123,730,682,197,35,48.3,22486,529,293,55.4,236,44.6
"Lazio",579,1293,15276,18668,81.8,6571,7369,89.2,1698,2822,60.2,6643,7517,88.4,16963,1632,463,36,178,602,651,146,73,44.4,22493,621,383,61.7,239,38.5
"Milan",542,1298,12864,16396,78.5,5935,6808,87.2,1490,2558,58.2,5054,6043,83.6,14572,1761,526,25,167,533,650,159,63,45.8,20652,584,302,51.7,281,48.1
"Napoli",565,1254,12959,16201,80,5743,6523,88,1392,2506,55.5,5501,6279,87.6,14495,1646,507,37,120,552,603,145,60,41.5,20179,617,349,56.6,268,43.4
"Roma",646,1275,14445,17956,80.4,6695,7514,89.1,1498,2655,56.4,5805,6688,86.8,16098,1777,535,24,132,504,684,133,81,48.6,22109,622,339,54.5,283,45.5
"Salernitana",840,1705,17458,21188,82.4,8056,8997,89.5,1828,2930,62.4,7042,8099,86.9,19440,1685,496,57,185,745,669,233,63,59,25328,579,302,52.2,277,47.8
"Sampdoria",807,1548,15997,20027,79.9,7502,8431,89,1653,2905,56.9,6361,7517,84.6,18196,1767,550,42,141,764,683,215,64,54.1,24105,631,341,54,288,45.6
"Sassuolo",699,1363,13305,16791,79.2,6061,6905,87.8,1427,2452,58.2,5321,6197,85.9,14939,1710,470,53,123,670,671,196,142,44.8,20881,575,338,58.8,236,41
"Spezia",722,1654,16843,20741,81.2,7556,8589,88,1671,2875,58.1,7123,8112,87.8,18778,1901,542,36,128,710,830,214,62,57.3,24792,586,319,54.4,266,45.4
"Torino",468,1027,11475,15759,72.8,4958,6028,82.2,1510,2969,50.9,4659,5818,80.1,13659,2040,687,30,88,558,806,180,60,46.4,19609,440,212,48.2,228,51.8
"Udinese",677,1573,16858,20623,81.7,7197,8138,88.4,1794,2903,61.8,7450,8452,88.1,18761,1805,620,40,127,653,633,203,57,57.7,24770,643,359,55.8,284,44.2
"Venezia",807,1719,17187,21142,81.3,7550,8576,88,1961,3108,63.1,7173,8237,87.1,19162,1932,534,30,147,817,815,268,48,57.9,25297,626,353,56.4,273,43.6
