"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Milan",1,26,8,4,86,12,14,4,4,3,1,40,46
"Inter",2,25,9,4,84,14,11,3,6,2,2,45,39
"Napoli",3,24,7,7,79,11,13,3,4,5,2,36,43
"Juventus",4,20,10,8,70,10,10,5,5,4,4,35,35
"Lazio",5,18,10,10,64,10,8,6,4,3,7,36,28
"Roma",6,18,9,11,63,10,8,6,3,3,8,36,27
"Fiorentina",7,19,5,14,62,13,6,2,3,4,10,41,21
"Atalanta",8,16,11,11,59,4,12,8,3,7,4,20,39
"Hellas Verona",9,14,11,13,53,9,5,3,8,7,6,30,23
"Torino",10,13,11,14,50,8,5,5,6,6,8,29,21
"Sassuolo",11,13,11,14,50,6,7,6,5,7,7,24,26
"Udinese",12,11,14,13,47,6,5,7,7,6,7,25,22
"Bologna",13,12,10,16,46,8,4,4,6,7,9,28,18
"Empoli",14,10,11,17,41,4,6,5,6,10,7,17,24
"Sampdoria",15,10,6,22,36,6,4,3,3,10,12,21,15
"Spezia",16,10,6,22,36,5,5,3,3,11,11,18,18
"Salernitana",17,7,10,21,31,3,4,6,4,10,11,15,16
"Cagliari",18,6,12,20,30,3,3,6,6,10,10,15,15
"Genoa",19,4,16,18,28,3,1,8,8,8,10,17,11
"Venezia",20,6,9,23,27,3,3,5,4,11,12,14,13
