"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Abdelhamid Sabiri","Sampdoria","MAR","MF","FW",25,0,2,2,1,31,9,29,0.03,0.11,25.5,8,41,22,19,0,0,0
"Abdou Harroui","Sassuolo","NED","MF",NA,24,0,2,0,0,14,4,28.6,0.14,0.5,23.4,0,15,15,0,1,1,0
"Adam Marušić","Lazio","MNE","DF",NA,29,2,2,0,0,16,7,43.8,0,0,24,0,35,28,7,3,2,1
"Adam Masina","Udinese","MAR","DF",NA,28,0,2,0,0,2,2,100,1,1,12.3,0,5,5,0,0,0,0
"Adam Ounas","Napoli","ALG","FW",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,2,1,0,1
"Adama Soumaoro","Bologna","FRA","DF",NA,30,0,0,0,0,2,1,50,0,0,8.8,0,7,7,0,1,1,0
"Ademola Lookman","Atalanta","NGA","FW","MF",24,6,19,3,3,49,23,46.9,0.2,0.43,15.8,1,87,60,27,12,8,4
"Adolfo Gaich","Hellas Verona","ARG","FW",NA,23,0,2,0,0,24,8,33.3,0.08,0.25,16.8,0,19,14,5,1,0,1
"Adrien Rabiot","Juventus","FRA","MF",NA,27,4,12,0,0,48,22,45.8,0.17,0.36,16.4,0,82,68,14,8,5,3
"Adrien Tameze","Hellas Verona","CMR","MF",NA,28,0,0,0,0,12,2,16.7,0,0,22.8,0,53,44,9,3,3,0
"Agustín Álvarez Martínez","Sassuolo","URU","FW","MF",21,1,2,0,0,14,4,28.6,0.07,0.25,15.8,0,9,3,6,2,1,1
"Ajdin Hrustic","Hellas Verona","AUS","MF",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,6,1,1,1,0
"Alberto Basso","Cremonese","ITA","MF",NA,18,0,0,0,0,1,1,100,0,0,13.7,0,0,0,0,0,0,0
"Alberto Grassi","Empoli","ITA","MF",NA,27,0,0,0,0,10,3,30,0,0,15.7,0,13,11,2,1,1,0
"Albin Ekdal","Spezia","SWE","MF",NA,33,2,2,0,0,19,4,21.1,0,0,14.4,0,35,26,9,1,1,0
"Aleksa Terzić","Fiorentina","SRB","DF",NA,22,1,2,0,0,10,2,20,0.1,0.5,24.8,0,43,32,11,5,3,2
"Aleksei Miranchuk","Torino","RUS","MF",NA,26,5,9,0,0,40,15,37.5,0.1,0.27,20.2,1,78,67,11,9,7,2
"Alessandro Bastoni","Inter","ITA","DF",NA,23,2,2,0,0,12,3,25,0,0,13.1,0,52,43,9,5,3,2
"Alessandro Bianco","Fiorentina","ITA","MF",NA,19,0,0,0,0,2,1,50,0,0,25.2,0,4,3,1,0,0,0
"Alessandro Buongiorno","Torino","ITA","DF",NA,23,2,3,0,0,20,1,5,0.05,1,8.6,0,22,17,5,4,3,1
"Alessandro Cortinovis","Hellas Verona","ITA","MF",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alessandro Florenzi","Milan","ITA","DF",NA,31,0,0,0,0,5,1,20,0,0,16.2,1,9,4,5,0,0,0
"Alessandro Russo","Sassuolo","ITA","GK",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alessandro Tuia","Lecce","ITA","DF",NA,32,0,0,0,0,2,1,50,0,0,11.6,0,5,4,1,0,0,0
"Alessandro Zanoli","Sampdoria","ITA","DF",NA,21,3,5,0,0,15,7,46.7,0.13,0.29,13.8,0,35,25,10,3,2,1
"Alessandro Zanoli","Sampdoria","ITA","DF",NA,21,3,5,0,0,15,7,46.7,0.13,0.29,13.8,0,1,1,0,0,0,0
"Alessandro Zanoli","Sampdoria","ITA","DF",NA,21,3,5,0,0,1,1,100,0,0,13,0,35,25,10,3,2,1
"Alessandro Zanoli","Sampdoria","ITA","DF",NA,21,3,5,0,0,1,1,100,0,0,13,0,1,1,0,0,0,0
"Alessandro Zanoli","Napoli","ITA","DF",NA,21,0,0,0,0,15,7,46.7,0.13,0.29,13.8,0,35,25,10,3,2,1
"Alessandro Zanoli","Napoli","ITA","DF",NA,21,0,0,0,0,15,7,46.7,0.13,0.29,13.8,0,1,1,0,0,0,0
"Alessandro Zanoli","Napoli","ITA","DF",NA,21,0,0,0,0,1,1,100,0,0,13,0,35,25,10,3,2,1
"Alessandro Zanoli","Napoli","ITA","DF",NA,21,0,0,0,0,1,1,100,0,0,13,0,1,1,0,0,0,0
"Alessio Cragno","Monza","ITA","GK",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alessio Romagnoli","Lazio","ITA","DF",NA,27,0,2,0,0,13,5,38.5,0.15,0.4,11.9,0,14,11,3,3,3,0
"Alessio Zerbin","Napoli","ITA","FW",NA,23,0,0,0,0,5,3,60,0,0,19.1,0,2,2,0,0,0,0
"Alex Cordaz","Inter","ITA","GK",NA,39,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alex Ferrari","Cremonese","ITA","DF",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,4,2,0,0,0
"Alex Ferrari","Cremonese","ITA","DF",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,3,1,0,0,0
"Alex Ferrari","Sampdoria","ITA","DF",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,4,2,0,0,0
"Alex Ferrari","Sampdoria","ITA","DF",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,3,1,0,0,0
"Alex Meret","Napoli","ITA","GK",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Alex Sandro","Juventus","BRA","DF",NA,31,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,36,32,4,3,3,0
"Alexis Blin","Lecce","FRA","MF",NA,25,0,1,0,0,22,4,18.2,0.05,0.25,12.9,0,42,34,8,1,1,0
"Alexis Saelemaekers","Milan","BEL","FW","DF",23,3,5,0,0,35,10,28.6,0.06,0.2,20.7,0,63,42,21,6,5,1
"Alfred Duncan","Fiorentina","GHA","MF",NA,29,0,1,0,0,9,2,22.2,0.11,0.5,24.1,0,39,32,7,5,3,2
"Amir Rrahmani","Napoli","KVX","DF",NA,28,1,3,0,0,21,3,14.3,0.1,0.67,13.4,0,26,23,3,4,4,0
"André Onana","Inter","CMR","GK",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,6,2,0,0,0
"Andre-Frank Zambo Anguissa","Napoli","CMR","MF",NA,26,5,8,0,0,50,15,30,0.06,0.2,18.1,1,79,67,12,9,9,0
"Andrea Barberis","Monza","ITA","MF",NA,28,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,10,9,1,2,1,1
"Andrea Belotti","Roma","ITA","FW",NA,28,2,2,1,0,19,9,47.4,0,0,12.7,0,27,22,5,3,3,0
"Andrea Cambiaso","Bologna","ITA","DF",NA,22,3,3,0,0,17,5,29.4,0,0,20.5,0,55,43,12,7,7,0
"Andrea Carboni","Monza","ITA","DF",NA,21,0,0,0,0,1,1,100,0,0,10.8,0,3,3,0,0,0,0
"Andrea Colpani","Monza","ITA","MF",NA,23,1,5,0,0,25,10,40,0.16,0.4,19.1,0,38,23,15,2,1,1
"Andrea Consigli","Sassuolo","ITA","GK",NA,35,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,5,1,0,0,0
"Andrea Conti","Sampdoria","ITA","DF",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andrea Petagna","Monza","ITA","FW",NA,27,5,9,1,1,35,12,34.3,0.09,0.25,13.2,0,41,32,9,7,3,4
"Andrea Pinamonti","Sassuolo","ITA","FW",NA,23,0,5,1,1,66,21,31.8,0.06,0.19,15.3,0,53,34,19,3,0,3
"Andrea Ranocchia","Monza","ITA","DF",NA,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andrew Gravillon","Torino","GLP","DF",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
