"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"James Abankwah","Udinese","IRL","DF",NA,18,0,0,0,0,2
"Oliver Abildgaard","Hellas Verona","DEN","MF",NA,26,2,0,0,0,13
"Tammy Abraham","Roma","ENG","FW",NA,24,2,0,0,0,33
"Francesco Acerbi","Inter","ITA","DF",NA,34,4,0,0,0,17
"Yacine Adli","Milan","FRA","MF","FW",22,1,0,0,0,4
"Michel Aebischer","Bologna","SUI","FW","MF",25,4,0,0,0,22
"Felix Afena-Gyan","Cremonese","GHA","FW","MF",19,4,0,0,0,18
"Kevin Agudelo","Spezia","COL","MF","FW",23,5,0,0,0,34
"Ola Aina","Torino","NGA","DF",NA,25,5,0,0,0,16
"Emanuel Aiwum","Cremonese","AUT","DF",NA,21,3,0,0,0,21
"Jean-Daniel Akpa-Akpro","Empoli","CIV","MF","FW",29,9,2,1,3,31
"Luis Alberto","Lazio","ESP","MF",NA,29,4,0,0,0,15
"Agustín Álvarez Martínez","Sassuolo","URU","FW","MF",21,1,0,0,0,8
"Kelvin Amian","Spezia","FRA","DF",NA,24,7,1,1,2,37
"Bruno Amione","Hellas Verona","ARG","DF",NA,20,1,0,0,0,3
"Bruno Amione","Sampdoria","ARG","DF",NA,20,10,1,1,2,24
"Ethan Ampadu","Spezia","WAL","DF","MF",21,10,1,1,2,44
"Sofyan Amrabat","Fiorentina","MAR","MF",NA,25,11,0,0,0,54
"Felipe Anderson","Lazio","BRA","FW",NA,29,3,0,0,0,40
"Janis Antiste","Sassuolo","FRA","FW",NA,19,0,0,0,0,4
"Marcos Antônio","Lazio","BRA","MF",NA,22,2,0,0,0,9
"Valentin Antov","Monza","BUL","DF",NA,21,2,0,0,0,4
"Marko Arnautović","Bologna","AUT","FW",NA,33,5,0,0,0,22
"Tolgay Arslan","Udinese","GER","MF",NA,31,3,0,0,0,15
"Santiago Ascacíbar","Cremonese","ARG","MF",NA,25,1,0,0,0,11
"Kristoffer Askildsen","Lecce","NOR","MF",NA,21,3,0,0,0,20
"Kristjan Asllani","Inter","ALB","MF",NA,20,2,0,0,0,5
"Emil Audero","Sampdoria","ITA","GK",NA,25,1,0,0,0,0
"Tommaso Augello","Sampdoria","ITA","DF",NA,27,3,0,0,0,14
"Carlos Augusto","Monza","BRA","DF",NA,23,4,0,0,0,41
"Kaan Ayhan","Sassuolo","TUR","DF",NA,27,1,0,0,0,4
"Jaime Báez","Cremonese","URU","DF",NA,27,0,0,0,0,1
"Nedim Bajrami","Empoli","ALB","MF","FW",23,1,0,0,0,6
"Nedim Bajrami","Sassuolo","ALB","FW","MF",23,0,0,0,0,6
"Tiemoué Bakayoko","Milan","FRA","MF",NA,27,0,0,0,0,3
"Tommaso Baldanzi","Empoli","ITA","MF",NA,19,2,0,0,0,12
"Fodé Ballo-Touré","Milan","SEN","DF",NA,25,0,0,0,0,5
"Lameck Banda","Lecce","ZAM","FW","MF",21,6,0,0,0,31
"Filippo Bandinelli","Empoli","ITA","MF",NA,27,10,0,0,0,53
"Antonín Barák","Fiorentina","CZE","MF",NA,27,4,0,0,0,13
"Andrea Barberis","Monza","ITA","MF",NA,28,0,0,0,0,1
"Tommaso Barbieri","Juventus","ITA","DF",NA,19,0,0,0,0,5
"Nicolò Barella","Inter","ITA","MF",NA,25,6,0,0,0,32
"Enzo Barrenechea","Juventus","ARG","MF",NA,21,0,0,0,0,3
"Musa Barrow","Bologna","GAM","FW","MF",23,3,0,0,0,20
"Federico Baschirotto","Lecce","ITA","DF",NA,25,6,0,0,0,37
"Toma Bašić","Lazio","CRO","MF",NA,25,2,0,0,0,12
"Alberto Basso","Cremonese","ITA","MF",NA,18,0,0,0,0,0
"Alessandro Bastoni","Inter","ITA","DF",NA,23,3,0,0,0,19
"Simone Bastoni","Spezia","ITA","MF","DF",25,7,0,0,0,29
"Brian Bayeye","Torino","COD","DF",NA,22,0,0,0,0,1
"Rodrigo Becão","Udinese","BRA","DF",NA,26,11,1,0,1,38
"Julius Beck","Spezia","DEN","MF",NA,17,0,0,0,0,1
