"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Atalanta",83,3,1,4,470
"Bologna",84,3,2,5,477
"Cremonese",81,3,0,3,458
"Empoli",88,7,3,10,441
"Fiorentina",93,3,2,5,488
"Hellas Verona",103,3,0,3,540
"Inter",65,3,2,5,444
"Juventus",74,6,1,7,456
"Lazio",87,2,0,2,400
"Lecce",86,2,1,3,553
"Milan",90,2,2,4,449
"Monza",90,4,1,5,489
"Napoli",47,1,0,1,389
"Roma",83,4,2,6,446
"Salernitana",85,4,1,5,473
"Sampdoria",108,3,2,5,507
"Sassuolo",90,6,3,9,408
"Spezia",103,6,4,10,519
"Torino",81,0,0,0,506
"Udinese",88,3,1,4,478
