"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Atalanta",83,1,0,1,406
"Bologna",84,2,1,3,451
"Cremonese",66,1,1,2,434
"Empoli",84,5,2,7,489
"Fiorentina",103,7,2,9,542
"Hellas Verona",69,5,0,5,410
"Inter",89,1,0,1,436
"Juventus",74,2,0,2,427
"Lazio",108,7,5,12,500
"Lecce",90,2,0,2,461
"Milan",113,1,0,1,462
"Monza",78,5,3,8,534
"Napoli",92,4,3,7,495
"Roma",124,8,3,11,533
"Salernitana",74,6,3,9,478
"Sampdoria",79,1,1,2,530
"Sassuolo",86,4,1,5,479
"Spezia",61,2,1,3,406
"Torino",66,1,1,2,413
"Udinese",86,3,1,4,505
