"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Atalanta",66,110,65.9,8,21.1,2,25
"Bologna",53,104,69.9,8,21.1,0,0
"Cremonese",36,92,76,14,36.8,2,28.6
"Empoli",37,96,73.3,12,31.6,0,0
"Fiorentina",53,124,72.3,9,23.7,2,33.3
"Hellas Verona",31,88,74.4,13,34.2,0,0
"Inter",71,133,66.8,7,18.4,1,20
"Juventus",56,118,69.9,8,21.1,2,40
"Lazio",60,108,67.9,7,18.4,1,14.3
"Lecce",33,79,73.9,14,36.8,1,20
"Milan",64,122,67.8,6,15.8,0,0
"Monza",48,98,70.3,9,23.7,1,16.7
"Napoli",77,145,68.9,6,15.8,2,20
"Roma",50,112,73.5,7,18.4,0,0
"Salernitana",48,71,60.7,11,28.9,0,0
"Sampdoria",24,92,80.2,21,55.3,1,50
"Sassuolo",47,124,77.8,10,26.3,1,10
"Spezia",31,95,78.2,18,47.4,0,0
"Torino",42,107,73,9,23.7,0,0
"Udinese",47,100,68.7,12,31.6,1,50
