"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Atalanta",72,42,30,42,16,26,30,26,4,57,129,5,5,539,197,36.5,0.12,0.34,16,6,971,735,236,128,103,25
"Bologna",54,32,22,33,12,21,21,20,1,32,84,5,4,472,159,33.7,0.1,0.3,18,19,823,611,212,78,50,28
"Cagliari",42,68,-26,28,32,-4,14,36,-22,30,71,6,4,442,127,28.7,0.08,0.29,17.6,15,785,550,235,70,44,26
"Empoli",29,54,-25,15,23,-8,14,31,-17,19,45,5,5,413,112,27.1,0.05,0.19,18.9,22,717,480,237,46,30,16
"Fiorentina",61,46,15,37,22,15,24,24,0,41,101,8,4,515,171,33.2,0.11,0.33,17.5,13,910,679,231,106,71,35
"Frosinone",44,69,-25,28,32,-4,16,37,-21,29,73,10,8,460,147,32,0.08,0.24,19.2,18,801,572,229,75,46,29
"Genoa",45,45,0,27,22,5,18,23,-5,27,70,6,5,397,119,30,0.1,0.32,17.4,21,705,448,257,75,53,22
"Hellas Verona",38,51,-13,23,26,-3,15,25,-10,29,67,7,3,435,146,33.6,0.08,0.24,18.9,13,777,546,231,69,46,23
"Inter",89,22,67,44,11,33,45,11,34,60,147,14,13,580,196,33.8,0.13,0.38,16.8,19,1059,819,240,152,109,43
"Juventus",54,31,23,26,11,15,28,20,8,37,89,5,3,531,146,27.5,0.09,0.34,16.9,19,936,669,267,87,54,33
"Lazio",49,39,10,23,14,9,26,25,1,30,76,4,4,436,135,31,0.1,0.31,18,15,762,573,189,74,54,20
"Lecce",32,54,-22,17,27,-10,15,27,-12,23,53,5,3,503,147,29.2,0.05,0.18,18.8,11,879,593,286,49,30,19
"Milan",76,49,27,38,17,21,38,32,6,56,132,8,6,554,202,36.5,0.13,0.35,16.8,9,1006,726,280,139,102,37
"Monza",39,51,-12,23,26,-3,16,25,-9,29,67,5,4,451,123,27.3,0.08,0.28,17.8,15,800,609,191,68,53,15
"Napoli",55,48,7,24,27,-3,31,21,10,36,90,10,6,638,196,30.7,0.08,0.24,17.6,18,1145,835,310,86,58,28
"Roma",65,46,19,38,19,19,27,27,0,44,108,12,11,464,142,30.6,0.11,0.37,17.9,16,858,617,241,112,68,44
"Salernitana",32,81,-49,17,38,-21,15,43,-28,25,57,2,2,398,118,29.6,0.08,0.25,19.1,11,699,515,184,52,35,17
"Sassuolo",43,75,-32,23,34,-11,20,41,-21,28,70,8,7,453,144,31.8,0.08,0.24,19.2,18,825,620,205,73,50,23
"Torino",36,36,0,18,9,9,18,27,-9,29,64,2,2,432,121,28,0.08,0.27,17.1,15,764,563,201,63,46,17
"Udinese",37,53,-16,21,29,-8,16,24,-8,23,59,4,3,457,134,29.3,0.07,0.25,18.8,21,793,528,265,63,39,24
